,Rank,Player,PPG,Season
0,1.,Wilt Chamberlain*,50.36,1961-62
1,2.,Wilt Chamberlain*,44.83,1962-63
2,3.,Wilt Chamberlain*,38.39,1960-61
3,4.,James Harden,37.86,2019-20
4,5.,Wilt Chamberlain*,37.60,1959-60
5,6.,Michael Jordan*,37.09,1986-87
6,7.,Wilt Chamberlain*,36.85,1963-64
7,8.,James Harden,36.13,2018-19
8,9.,Rick Barry*,35.58,1966-67
9,10.,Kobe Bryant,35.40,2005-06
10,11.,Michael Jordan*,34.98,1987-88
11,12.,Kareem Abdul-Jabbar*,34.84,1971-72
12,13.,Elgin Baylor*,34.77,1960-61
13,14.,Wilt Chamberlain*,34.71,1964-65
14,15.,Bob McAdoo*,34.52,1974-75
15,16.,Elgin Baylor*,33.99,1962-63
16,,Tiny Archibald*,33.99,1972-73
17,18.,Michael Jordan*,33.57,1989-90
18,19.,Wilt Chamberlain*,33.53,1965-66
19,20.,George Gervin*,33.14,1979-80
20,21.,Allen Iverson*,33.01,2005-06
21,22.,Bernard King*,32.89,1984-85
22,23.,Michael Jordan*,32.58,1992-93
23,24.,Michael Jordan*,32.51,1988-89
24,25.,George Gervin*,32.29,1981-82
25,26.,Tracy McGrady*,32.09,2002-03
26,27.,Kevin Durant,32.01,2013-14
27,28.,Kareem Abdul-Jabbar*,31.66,1970-71
28,29.,Walt Bellamy*,31.58,1961-62
29,30.,Russell Westbrook,31.58,2016-17
30,31.,Kobe Bryant,31.56,2006-07
31,32.,Michael Jordan*,31.46,1990-91
32,33.,Oscar Robertson*,31.39,1963-64
33,34.,Allen Iverson*,31.38,2001-02
34,35.,LeBron James,31.37,2005-06
35,36.,Jerry West*,31.34,1965-66
36,37.,Oscar Robertson*,31.29,1965-66
37,38.,Jerry West*,31.20,1969-70
38,39.,Jack Twyman*,31.17,1959-60
39,40.,Bob Pettit*,31.14,1961-62
40,41.,Pete Maravich*,31.14,1976-77
41,42.,Bob McAdoo*,31.12,1975-76
42,43.,Moses Malone*,31.11,1981-82
43,44.,Allen Iverson*,31.08,2000-01
44,45.,Karl Malone*,30.98,1989-90
45,46.,Jerry West*,30.97,1964-65
46,47.,Jerry West*,30.80,1961-62
47,48.,Oscar Robertson*,30.78,1961-62
48,49.,Dominique Wilkins*,30.73,1987-88
49,50.,Allen Iverson*,30.69,2004-05
50,51.,Adrian Dantley*,30.65,1980-81
51,52.,Rick Barry*,30.62,1974-75
52,53.,Adrian Dantley*,30.61,1983-84
53,54.,Bob McAdoo*,30.55,1973-74
54,55.,Oscar Robertson*,30.53,1966-67
55,56.,Oscar Robertson*,30.49,1960-61
56,57.,James Harden,30.43,2017-18
57,58.,Oscar Robertson*,30.39,1964-65
58,59.,Michael Jordan*,30.38,1995-96
59,60.,Adrian Dantley*,30.33,1981-82
60,,Dominique Wilkins*,30.33,1985-86
61,62.,World B. Free,30.22,1979-80
62,63.,Dwyane Wade,30.20,2008-09
63,64.,Kareem Abdul-Jabbar*,30.16,1972-73
64,65.,Kevin Durant,30.15,2009-10
65,66.,Stephen Curry,30.06,2015-16
66,67.,Michael Jordan*,30.05,1991-92
67,68.,Kobe Bryant,30.01,2002-03
68,69.,LeBron James,30.00,2007-08
69,70.,Kareem Abdul-Jabbar*,29.98,1974-75
70,71.,Larry Bird*,29.93,1987-88
71,72.,Dominique Wilkins*,29.87,1992-93
72,73.,Adrian Dantley*,29.83,1985-86
73,74.,Alex English*,29.80,1985-86
74,75.,David Robinson*,29.79,1993-94
75,76.,Giannis Antetokounmpo,29.76,2019-20
76,77.,Jerry Stackhouse,29.75,2000-01
77,78.,LeBron James,29.71,2009-10
78,79.,Shaquille O'Neal*,29.67,1999-00
79,80.,Michael Jordan*,29.65,1996-97
80,81.,Elgin Baylor*,29.63,1959-60
81,82.,George Gervin*,29.56,1978-79
82,83.,Richie Guerin*,29.53,1961-62
83,84.,Mark Aguirre,29.49,1983-84
84,85.,Luka Dončić,29.44,2019-20
85,86.,Kiki Vandeweghe,29.42,1983-84
86,87.,Shaquille O'Neal*,29.35,1993-94
87,88.,Gilbert Arenas,29.32,2005-06
88,89.,Shaquille O'Neal*,29.30,1994-95
89,90.,Bob Pettit*,29.24,1958-59
90,91.,Spencer Haywood*,29.23,1972-73
91,92.,Oscar Robertson*,29.17,1967-68
92,93.,James Harden,29.09,2016-17
